name,type,segment,city,address,phones,discount,has_contact,sub_facility_count,sources
Oğuz Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Oğuz,"Oğuz şəhəri, Dədə Qorqud küçəsi 1",(+9942421) 5-35-03,,yes,27,its.gov.az
Pirallahı Tibb Mərkəzi,state-network,reference/contractor,,Pirallahı rayonu Kamil Rzayev küçəsi 22/13.,(+99412) 457-08-48,,yes,1,its.gov.az
Salyan Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Salyan,"Salyan şəhəri, H.Z.Tağıyev küçəsi114",(+9942125) 5-47-64,,yes,47,its.gov.az
Samux Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Samux,"Samux şəhəri, Mikayıl Müşfiq küçəsi",(+9942227) 5-10-27,,yes,32,its.gov.az
Siyəzən Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Siyəzən,"Siyəzən rayonu, Babək küçəsi 48 A.",(+9942330) 4-29-76,,yes,14,its.gov.az
Qubadlı Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Sumqayıt,"Sumqayıt şəhəri, Mehdi Hüseynzadə küçəsi 11, 9-cu məhəllə",(+9941865) 5-89-35,,yes,4,its.gov.az
Suraxanı Tibb Mərkəzi,state-network,reference/contractor,,"Suraxanı rayonu, Atamoğlan Rzayev küçəsi 1",(+99412) 477-20-04,,yes,1,its.gov.az
Şabran Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Şabran,"Şabran rayonu, Heydər Əliyev pr. 93",(+99412) 585-66-15,,yes,31,its.gov.az
Şəki Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Şəki,"Şəki şəhəri, Zərifə Əliyeva 127",(+9942424) 4-11-73,,yes,60,its.gov.az
Tərtər Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Tərtər,"Tərtər şəhəri, R. Mürsəlov küçəsi 18",(+994 2223) 6-30-36,,yes,38,its.gov.az
Tovuz Rayon Mərkəzi Xəstəxanası,state-network,reference/contractor,Tovuz,"Tovuz rayonu, Şəhriyar küçəsi 32",(+9942231) 5-31-78,,yes,55,its.gov.az
Artromed Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Xətai rayonu, Əhmədli , Gəncə pr. 34",+994 50 461 38 08,,yes,0,its.gov.az + tibbiportal.az
Daxili İşlər Nazirliyinin Tibb İdarəsinin Respublika Hospitalı,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Nərimanov rayonu, Ziya Bünyadov pr. 36",(+994 12) 1844,,yes,0,its.gov.az
Diaqnoz Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Xətai rayonu, Əhmədli, Sarayevo küçəsi 38C, AZ1149",+994 12 904 | (+994 12) 370 40 65,,yes,0,its.gov.az
Dövlət Təhlükəsizliyi Xidmətinin Hərbi-tibb baş idarəsi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Badamdar qəsəbəsi, Məktəbli 1 küçəsi",(+994 12) 405 73 51 | (+994 12) 405 73 00,,yes,0,its.gov.az
Elmi-Tədqiqat Mamalıq və Ginekologiya İnstitutu,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Yasamal rayonu, Kazım Kazımzadə küçəsi,118",(+994 12) 510 09 52 | (+994 12) 538 52 05,,yes,0,its.gov.az
Elmi-Tədqiqat Tibbi Bərpa İnstitutu,state-or-agency,reference/contractor,Bakı,"Bakı şəh, Xətai pr., 3.",(+99412) 466 44 43,,yes,0,its.gov.az
Elmi-Tədqiqat Travmatologiya və Ortopediya İnstitutu,state-or-agency,reference/contractor,Bakı,"Bakı şəh, Nəsimi r-nu, Abbas Səhhət küç, 32",(+994 12) 440-53-21 | (+994 12) 440-11-75,,yes,0,its.gov.az
Eurolab Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, 122 G döngəsi, H.Sarabski küç.,24",+994 12 597 41 00 | +994 12 597 42 00,,yes,0,its.gov.az
FLORENCE Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Yasamal rayonu, H.Zərdabi prospekti, ev 78V",(+994 55) 866 84 44,15%,yes,0,its.gov.az + sosial.gov.az
Fövqəladə Hallar Nazirliyinin Tibb Xidməti İdarəsi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Yasamal rayonu, Tblisi pr-ti 57",(+994 12) 512 14 44,,yes,0,its.gov.az
Həyat Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Xəzər rayonu, Qala qəsəbəsi, Xaşaxuna bağ sahəsi 91K",(+994 70) 404 75 92 | (+994 12) 559 97 48,,yes,0,its.gov.az
Karia Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Quba şəhəri, Bakı-Quba yolu ,Gənclər parkının yanı",(+994 51) 511 05 45 | (+994 50) 658 13 31,,yes,0,its.gov.az
M.A.Topçubaşov adına Elmi Cərrahiyyə Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəh, Abbas Mirzə Şərifzadə küç, 196",(+994) 12 432 11 86,,yes,0,its.gov.az
Mərkəzi Gömrük Hospitalı,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Yasamal rayonu, K.Kazımzadə küçəsi, 118, AZ1065",+994 12 404 08 08 | (+994 50) 246 00 37,,yes,0,its.gov.az + tibbiportal.az
Milli Hematologiya və Transfuziologiya Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəh, Fətəli xan Xoyski küç, 128",1842,,yes,0,its.gov.az
Müdafiə Nazirliyinin Baş Klinik Hospitalı,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Nəsimi rayonu, Ceyhun Səlimov küçəsi ev 2, AZ 1009",(+994 12) 430 50 74,,yes,0,its.gov.az
Naftalan Sağlamlıq Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı Şəhəri,Səbail Rayonu,Badamdar Qəsəbəsi,M.Müşfiq Küçəsi,ev.1",(+994 50) 444 67 00,,yes,0,its.gov.az
Respublika Diaqnostika Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Yasamal rayonu, Tbilisi prospekti 147, AZ1122",(+994 12) 530 90 29 | (+994 50) 229 81 90,,yes,0,its.gov.az
Vitamed Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Sabunçu rayonu, Bakıxanov qəsəbəsi, 94",(+994 12) 404 41 71 | (+994 50) 304 41 71,,yes,0,its.gov.az
Zəfər Tibb Mərkəzi,state-or-agency,reference/contractor,Bakı,"Bakı şəhəri, Şəfayət Mehdiyev 129",(+994 51) 290 66 17 | (+994 51) 290 66 11,10%,yes,0,its.gov.az + sosial.gov.az
Ozon Tibb Mərkəzi,state-or-agency,reference/contractor,Gəncə,"Gəncə şəhəri, 20 Yanvar küçəsi 141",(022) 267 01 43,,yes,0,its.gov.az
Yeni Gəncə Tibb Mərkəzi,state-or-agency,reference/contractor,Gəncə,"Gəncə şəhəri, yeni Gəncə qəsəbəsi, 28 May küçəsi 23",(+994 22) 254 07 00 | (+994 50) 559 03 03,,yes,0,its.gov.az
Medisan Tibb Mərkəzi,state-or-agency,reference/contractor,İmişli,"İmişli rayonu,H.Əliyev prospekti 131",(+994 21) 246 10 70 | (+994 70) 246 10 70,,yes,0,its.gov.az
İsmayıllı Sağlamlıq Mərkəzi,state-or-agency,reference/contractor,İsmayıllı,"Ismayıllı rayonu, M.F.Axundov küçəsi 19",(+994 50) 975 62 62 | (+994 50) 880 81 82,9%,yes,0,its.gov.az + sosial.gov.az
AS Tibb Mərkəzi,state-or-agency,reference/contractor,Kürdəmir,"Kürdəmir rayonu, Xırdapay kəndi",(+994 50) 350 74 20 | (+994 50) 450 06 04,,yes,0,its.gov.az
Referans Qəbələ Tibb Mərkəzi,state-or-agency,reference/contractor,Qəbələ,"Qəbələ şəhəri, Abbas Səhhət küçəsi 25A",(+994 77) 760 00 33,,yes,0,its.gov.az
Tuva Tibb Mərkəzi,state-or-agency,reference/contractor,Masallı,"Masallı rayon, Qızılavar kəndi",(+994 51) 324 83 88,4%,yes,0,its.gov.az + sosial.gov.az
Nur Sağlamlıq Mərkəzi,state-or-agency,reference/contractor,Naftalan,"Naftalan şəhəri, Ş.Qurbanov 78",(+994 99) 701 01 05 | (+994 55) 341 01 02,,yes,0,its.gov.az
Şəmkir Sağlamlıq Tibb Mərkəzi,state-or-agency,reference/contractor,Şəmkir,"Şəmkir şəhəri, H.Aslanov küçəsi. 4c",(+994 55) 497 82 05 | (+994 51) 497 05 05,,yes,0,its.gov.az
Medical Center Tibb Mərkəzi,state-or-agency,reference/contractor,Tovuz,"Tovuz şəhəri, M. Şəhriyar, 99",(+994 51) 315 05 00,,yes,0,its.gov.az
Tovuz Tibb Mərkəzi,state-or-agency,reference/contractor,Tovuz,"Tovuz rayonu,Tovuz şəhəri, İ.Mürşüdov ev 44",(+994 50) 829 63 38 | (+ 994 223) 15 59 59,,yes,0,its.gov.az
